lganame,councilnam,suburbname,postcode,percentage,,,,LGA_WRONG,,FIX,LGA_NEIGHBOR_WRONG
ALBURY CITY,ALBURY CITY COUNCIL,ALBURY,2640,100,,,,ALBURY CITY,,ALBURY CITY,"ALBURY CITY, GREATER HUME SHIRE"
ALBURY CITY,ALBURY CITY COUNCIL,EAST ALBURY,2640,100,,,,ARMIDALE REGIONAL,,ARMIDALE REGIONAL,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, KEMPSEY, NAMBUCCA VALLEY, URALLA, WALCHA"
ALBURY CITY,ALBURY CITY COUNCIL,ETTAMOGAH,2640,100,,,,BALLINA,,,"BALLINA, BYRON, LISMORE, RICHMOND VALLEY"
ALBURY CITY,ALBURY CITY COUNCIL,GLENROY,2640,100,,,,BALRANALD,,,"BALRANALD, CARRATHOOL, CENTRAL DARLING, HAY, MURRAY RIVER, WENTWORTH"
ALBURY CITY,ALBURY CITY COUNCIL,HAMILTON VALLEY,2641,100,,,,BATHURST REGIONAL,,BATHURST REGIONAL,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, LITHGOW CITY, MID-WESTERN REGIONAL, OBERON, UPPER LACHLAN SHIRE"
ALBURY CITY,ALBURY CITY COUNCIL,JINDERA,2642,0.037531274,,,,BAYSIDE,,BAYSIDE,"BAYSIDE (NSW), CANTERBURY-BANKSTOWN, GEORGES RIVER, INNER WEST, RANDWICK, SYDNEY"
ALBURY CITY,ALBURY CITY COUNCIL,LAKE HUME VILLAGE,3691,100,,,,BEGA VALLEY,,,"BEGA VALLEY, EUROBODALLA, SNOWY MONARO REGIONAL"
ALBURY CITY,ALBURY CITY COUNCIL,LAVINGTON,2641,100,,,,BELLINGEN,,,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR, NAMBUCCA VALLEY"
ALBURY CITY,ALBURY CITY COUNCIL,NORTH ALBURY,2640,100,,,,BERRIGAN,,,"BERRIGAN, EDWARD RIVER, FEDERATION, MURRAY RIVER, MURRUMBIDGEE"
ALBURY CITY,ALBURY CITY COUNCIL,SOUTH ALBURY,2640,100,,,,BLACKTOWN,,,"BLACKTOWN, CUMBERLAND, FAIRFIELD, HAWKESBURY, CITY OF PARRAMATTA, PENRITH, THE HILLS SHIRE"
ALBURY CITY,ALBURY CITY COUNCIL,SPLITTERS CREEK,2640,100,,,,BLAND,,,"BLAND, CARRATHOOL, COOLAMON, FORBES, HILLTOPS, LACHLAN, NARRANDERA, TEMORA, WEDDIN"
ALBURY CITY,ALBURY CITY COUNCIL,SPRINGDALE HEIGHTS,2641,100,,,,BLAYNEY,,,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, ORANGE"
ALBURY CITY,ALBURY CITY COUNCIL,TABLE TOP,2640,51.4259947,,,,BLUE MOUNTAINS,,,"BLUE MOUNTAINS, HAWKESBURY, LITHGOW CITY, OBERON, PENRITH, WOLLONDILLY"
ALBURY CITY,ALBURY CITY COUNCIL,THURGOONA,2640,100,,,,BOGAN,,,"BOGAN, BOURKE, BREWARRINA, COBAR, LACHLAN, WARREN"
ALBURY CITY,ALBURY CITY COUNCIL,WEST ALBURY,2640,100,,,,BOURKE,,,"BOGAN, BOURKE, BREWARRINA, CENTRAL DARLING, COBAR, UNINCORPORATED NSW"
ALBURY CITY,ALBURY CITY COUNCIL,WIRLINGA,2640,100,,,,BREWARRINA,,,"BOGAN, BOURKE, BREWARRINA, WALGETT, WARREN"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ABERFOYLE,2350,100,,,,BROKEN HILL,,,"BROKEN HILL, UNINCORPORATED NSW"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ARMIDALE,2350,100,,,,BURWOOD,,,"BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, INNER WEST, STRATHFIELD"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BACKWATER,2365,100,,,,BYRON,,,"BALLINA, BYRON, LISMORE, TWEED"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALD BLAIR,2365,100,,,,CABONNE,,,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, DUBBO REGIONAL, FORBES, MID-WESTERN REGIONAL, NARROMINE, ORANGE, PARKES"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALDERSLEIGH,2365,100,,,,CAMDEN,,,"CAMDEN, CAMPBELLTOWN, LIVERPOOL, WOLLONDILLY"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BEN LOMOND,2365,83.30856521,,,,CAMPBELLTOWN,,CAMPBELLTOWN,"CAMDEN, CAMPBELLTOWN, LIVERPOOL, SUTHERLAND SHIRE, WOLLONDILLY, WOLLONGONG"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BLACK MOUNTAIN,2365,100,,,,CANADA BAY,,,"BURWOOD, CANADA BAY, INNER WEST, CITY OF PARRAMATTA, STRATHFIELD"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BOOROLONG,2350,91.28172257,,,,CANTERBURY-BANKSTOWN,,,"BAYSIDE (NSW), BURWOOD, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, GEORGES RIVER, INNER WEST, LIVERPOOL, STRATHFIELD, SUTHERLAND SHIRE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRIARBROOK,2365,83.34578965,,,,CARRATHOOL,,,"BALRANALD, BLAND, CARRATHOOL, CENTRAL DARLING, COBAR, GRIFFITH, HAY, LACHLAN, MURRUMBIDGEE, NARRANDERA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BROCKLEY,2365,100,,,,CENTRAL COAST,,CENTRAL COAST,"CENTRAL COAST, CESSNOCK, HAWKESBURY, HORNSBY, LAKE MACQUARIE, THE HILLS SHIRE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRUSHY CREEK,2365,100,,,,CENTRAL DARLING,,,"BALRANALD, BOURKE, CARRATHOOL, CENTRAL DARLING, COBAR, WENTWORTH, UNINCORPORATED NSW"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CARRAI,2440,100,,,,CESSNOCK,,,"CENTRAL COAST, CESSNOCK, HAWKESBURY, LAKE MACQUARIE, MAITLAND, NEWCASTLE, SINGLETON"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CASTLE DOYLE,2350,100,,,,CLARENCE VALLEY,,,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR, GLEN INNES SEVERN, KYOGLE, RICHMOND VALLEY, TENTERFIELD"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DANGARSLEIGH,2350,85.76614906,,,,COBAR,,,"BOGAN, BOURKE, CARRATHOOL, CENTRAL DARLING, COBAR, LACHLAN"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DONALD CREEK,2350,100,,,,COFFS HARBOUR,,,"BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUMARESQ,2350,74.38498222,,,,COOLAMON,,,"BLAND, COOLAMON, JUNEE, NARRANDERA, TEMORA, WAGGA WAGGA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUVAL,2350,100,,,,COONAMBLE,,,"COONAMBLE, GILGANDRA, NARRABRI, WALGETT, WARREN, WARRUMBUNGLE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,EBOR,2453,100,,,,COOTAMUNDRA-GUNDAGAI REGIONAL REGIONAL,,COOTAMUNDRA-GUNDAGAI REGIONAL REGIONAL,"COOTAMUNDRA-GUNDAGAI REGIONAL, HILLTOPS, JUNEE, SNOWY VALLEYS, TEMORA, WAGGA WAGGA, YASS VALLEY"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ENMORE,2350,100,,,,COWRA,,,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, FORBES, HILLTOPS, UPPER LACHLAN SHIRE, WEDDIN"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,FALCONER,2365,100,,,,CUMBERLAND,,,"BLACKTOWN, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, CITY OF PARRAMATTA, STRATHFIELD"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GREEN HILLS,2365,100,,,,DUBBO REGIONAL REGIONAL,,DUBBO REGIONAL REGIONAL,"CABONNE, DUBBO REGIONAL, GILGANDRA, MID-WESTERN REGIONAL, NARROMINE, WARRUMBUNGLE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GUYRA,2365,100,,,,DUNGOG,,,"DUNGOG, MAITLAND, MID-COAST, PORT STEPHENS, SINGLETON, UPPER HUNTER"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HERNANI,2453,7.868704103,,,,EDWARD RIVER,,,"BERRIGAN, EDWARD RIVER, HAY, MURRAY RIVER, MURRUMBIDGEE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HILLGROVE,2350,100,,,,EUROBODALLA,,,"BEGA VALLEY, EUROBODALLA, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, SNOWY MONARO REGIONAL"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,JEOGLA,2350,100,,,,FAIRFIELD,,,"BLACKTOWN, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, LIVERPOOL, PENRITH"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KELLYS PLAINS,2350,78.86099956,,,,FEDERATION,,,"BERRIGAN, FEDERATION, GREATER HUME SHIRE, LOCKHART, MURRUMBIDGEE, NARRANDERA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KOOKABOOKRA,2370,67.27924096,,,,FORBES,,,"BLAND, CABONNE, COWRA, FORBES, LACHLAN, PARKES, WEDDIN"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LLANGOTHLIN,2365,100,,,,GEORGES RIVER,,,"BAYSIDE (NSW), CANTERBURY-BANKSTOWN, GEORGES RIVER"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LOWER CREEK,2440,100,,,,GILGANDRA,,,"COONAMBLE, DUBBO REGIONAL, GILGANDRA, NARROMINE, WARREN, WARRUMBUNGLE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LYNDHURST,2350,100,,,,GLEN INNES SEVERN,,,"ARMIDALE REGIONAL, CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, TENTERFIELD"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,METZ,2350,100,,,,GOULBURN MULWAREE,,,"GOULBURN MULWAREE, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, UPPER LACHLAN SHIRE, WINGECARRIBEE"
