type,stop_name,stop_lat,stop_lon,route_desc,route_type
Light Rail,Arlington Light Rail,-33.9018422347763,151.138055181999,Sydney Light Rail Network,900
Light Rail,Arlington Light Rail,-33.9018299721787,151.138151837848,Sydney Light Rail Network,900
Light Rail,Bridge Street Light Rail,-33.8641497738042,151.207483756096,Sydney Light Rail Network,900
Light Rail,Bridge Street Light Rail,-33.8641149010507,151.207449641448,Sydney Light Rail Network,900
Light Rail,Capitol Square Light Rail,-33.8798118386264,151.205553115885,Sydney Light Rail Network,900
Light Rail,Capitol Square Light Rail,-33.8797703289384,151.20571311068,Sydney Light Rail Network,900
Light Rail,Central Chalmers Street Light Rail,-33.8842518037219,151.207715870593,Sydney Light Rail Network,900
Light Rail,Central Chalmers Street Light Rail,-33.8842262953731,151.20767140456,Sydney Light Rail Network,900
Light Rail,Central Chalmers Street Light Rail,-33.8841925301676,151.207604926734,Sydney Light Rail Network,900
Light Rail,Central Grand Concourse Light Rail,-33.8824219920822,151.206686052586,Sydney Light Rail Network,900
Light Rail,Chinatown Light Rail,-33.8785945998064,151.205579711476,Sydney Light Rail Network,900
Light Rail,Chinatown Light Rail,-33.8785867111694,151.205546917264,Sydney Light Rail Network,900
Light Rail,Circular Quay Light Rail,-33.8615761299342,151.210024893904,Sydney Light Rail Network,900
Light Rail,Circular Quay Light Rail,-33.8615124291174,151.210043361994,Sydney Light Rail Network,900
Light Rail,Circular Quay Light Rail,-33.8614854449916,151.210042035304,Sydney Light Rail Network,900
Light Rail,Civic Light Rail,-32.9270513239838,151.771761379119,Newcastle Light Rail Network,900
Light Rail,Civic Light Rail,-32.9269884001847,151.771757993523,Newcastle Light Rail Network,900
Light Rail,Convention Light Rail,-33.8726324133386,151.198125388685,Sydney Light Rail Network,900
Light Rail,Convention Light Rail,-33.872573497371,151.198003683104,Sydney Light Rail Network,900
Light Rail,Crown Street Light Rail,-32.9264366328388,151.777228860662,Newcastle Light Rail Network,900
Light Rail,Crown Street Light Rail,-32.9263745262357,151.777204153941,Newcastle Light Rail Network,900
Light Rail,Dulwich Grove Light Rail,-33.9050443782764,151.139020605567,Sydney Light Rail Network,900
Light Rail,Dulwich Grove Light Rail,-33.9049795944189,151.139071498568,Sydney Light Rail Network,900
Light Rail,Dulwich Hill Light Rail,-33.910306100907,151.140096671552,Sydney Light Rail Network,900
Light Rail,ES Marks Light Rail,-33.905832751621,151.223938029941,Sydney Light Rail Network,900
Light Rail,ES Marks Light Rail,-33.905824868838,151.223905223828,Sydney Light Rail Network,900
Light Rail,Exhibition Centre Light Rail,-33.8772141574075,151.199570762909,Sydney Light Rail Network,900
Light Rail,Exhibition Centre Light Rail,-33.8771744965176,151.199676836938,Sydney Light Rail Network,900
Light Rail,Fish Market Light Rail,-33.8709534384962,151.192404786361,Sydney Light Rail Network,900
Light Rail,Fish Market Light Rail,-33.8708886368192,151.192455618949,Sydney Light Rail Network,900
Light Rail,Glebe Light Rail,-33.8772589518494,151.187420632847,Sydney Light Rail Network,900
Light Rail,Glebe Light Rail,-33.8771690023769,151.187416231665,Sydney Light Rail Network,900
Light Rail,Hawthorne Light Rail,-33.8797231293805,151.147128987715,Sydney Light Rail Network,900
Light Rail,Hawthorne Light Rail,-33.8793466821006,151.147337598728,Sydney Light Rail Network,900
Light Rail,Haymarket Light Rail,-33.8814693048956,151.205299699926,Sydney Light Rail Network,900
Light Rail,Haymarket Light Rail,-33.8814311137207,151.205362638165,Sydney Light Rail Network,900
Light Rail,Honeysuckle Light Rail,-32.9264946901204,151.765824985483,Newcastle Light Rail Network,900
Light Rail,Honeysuckle Light Rail,-32.9264673151623,151.7658341952,Newcastle Light Rail Network,900
Light Rail,John Street Square Light Rail,-33.8674243205517,151.192059144848,Sydney Light Rail Network,900
Light Rail,John Street Square Light Rail,-33.8673894431491,151.192025034577,Sydney Light Rail Network,900
Light Rail,Jubilee Park Light Rail,-33.8754636474894,151.17874528556,Sydney Light Rail Network,900
Light Rail,Jubilee Park Light Rail,-33.8753826920414,151.178741332955,Sydney Light Rail Network,900
Light Rail,Juniors Kingsford Light Rail,-33.9251524416182,151.229097400686,Sydney Light Rail Network,900
Light Rail,Juniors Kingsford Light Rail,-33.9249752375447,151.229272362803,Sydney Light Rail Network,900
Light Rail,Kensington Light Rail,-33.9093747926795,151.223378254497,Sydney Light Rail Network,900
Light Rail,Kensington Light Rail,-33.9093672803993,151.223334659339,Sydney Light Rail Network,900
Light Rail,Kingsford Light Rail,-33.921877770701,151.226860240337,Sydney Light Rail Network,900
Light Rail,Kingsford Light Rail,-33.9218762867834,151.226903397176,Sydney Light Rail Network,900
Light Rail,Leichhardt North Light Rail,-33.8750070648722,151.15445106925,Sydney Light Rail Network,900
Light Rail,Leichhardt North Light Rail,-33.8749544030765,151.153876008043,Sydney Light Rail Network,900
Light Rail,Lewisham West Light Rail,-33.8939824287552,151.143228372547,Sydney Light Rail Network,900
Light Rail,Lewisham West Light Rail,-33.8936638651061,151.143591095283,Sydney Light Rail Network,900
Light Rail,Lilyfield Light Rail,-33.8741786676621,151.165093895122,Sydney Light Rail Network,900
Light Rail,Lilyfield Light Rail,-33.8741426868283,151.16509214422,Sydney Light Rail Network,900
