type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Aberdeen Station, Platform 1",-32.16696885,150.892015,Intercity Trains Network,2
Train,"Adamstown Station, Platform 1",-32.93368788,151.7202266,Intercity Trains Network,2
Train,"Adamstown Station, Platform 2",-32.93359879,151.7202005,Intercity Trains Network,2
Train,"Albion Park Station, Platform 1",-34.56288417,150.7986391,Intercity Trains Network,2
Train,"Albion Park Station, Platform 2",-34.56308996,150.7989752,Intercity Trains Network,2
Train,"Allawah Station, Platform 1",-33.9695141,151.1142679,Sydney Trains Network,2
Train,"Allawah Station, Platform 2",-33.96956916,151.1142381,Sydney Trains Network,2
Train,"Allawah Station, Platform 3",-33.96967819,151.1142109,Sydney Trains Network,2
Train,"Allawah Station, Platform 4",-33.96975124,151.114182,Sydney Trains Network,2
Train,"Arncliffe Station, Platform 1",-33.9364799,151.147062,Sydney Trains Network,2
Train,"Arncliffe Station, Platform 2",-33.93652877,151.1472157,Sydney Trains Network,2
Train,"Arncliffe Station, Platform 3",-33.93656938,151.1473474,Sydney Trains Network,2
Train,"Arncliffe Station, Platform 4",-33.93660209,151.1474463,Sydney Trains Network,2
Train,"Artarmon Station, Platform 1",-33.80856683,151.1847776,Intercity Trains Network,2
Train,"Artarmon Station, Platform 1",-33.80856683,151.1847776,Sydney Trains Network,2
Train,"Artarmon Station, Platform 2",-33.80860427,151.1847363,Intercity Trains Network,2
Train,"Artarmon Station, Platform 2",-33.80860427,151.1847363,Sydney Trains Network,2
Train,"Ashfield Station, Platform 3",-33.88757557,151.1255565,Sydney Trains Network,2
Train,"Ashfield Station, Platform 4",-33.88763963,151.1255272,Sydney Trains Network,2
Train,"Ashfield Station, Platform 5",-33.88771268,151.1254983,Sydney Trains Network,2
Train,"Asquith Station, Platform 1",-33.68861344,151.1082054,Intercity Trains Network,2
Train,"Asquith Station, Platform 1",-33.68861344,151.1082054,Sydney Trains Network,2
Train,"Asquith Station, Platform 2",-33.68855369,151.1081055,Intercity Trains Network,2
Train,"Asquith Station, Platform 2",-33.68855369,151.1081055,Sydney Trains Network,2
Train,"Auburn Station, Platform 1",-33.84922459,151.032964,Sydney Trains Network,2
Train,"Auburn Station, Platform 2",-33.84927169,151.0329014,Sydney Trains Network,2
Train,"Auburn Station, Platform 3",-33.8493285,151.0328177,Sydney Trains Network,2
Train,"Auburn Station, Platform 4",-33.84938531,151.0327339,Sydney Trains Network,2
Train,"Austinmer Station, Platform 1",-34.30648727,150.9291363,Intercity Trains Network,2
Train,"Austinmer Station, Platform 2",-34.30645505,150.9292977,Intercity Trains Network,2
Train,"Awaba Station, Platform 1",-33.01301514,151.5420614,Intercity Trains Network,2
Train,"Awaba Station, Platform 2",-33.01293422,151.5420572,Intercity Trains Network,2
Train,"Banksia Station, Platform 1",-33.94503894,151.1403966,Sydney Trains Network,2
Train,"Banksia Station, Platform 2",-33.94507201,151.1404847,Sydney Trains Network,2
Train,"Banksia Station, Platform 3",-33.94510472,151.1405836,Sydney Trains Network,2
Train,"Banksia Station, Platform 4",-33.94513779,151.1406717,Sydney Trains Network,2
Train,"Bankstown Station, Platform 1",-33.91781894,151.0344364,Sydney Trains Network,2
Train,"Bardwell Park Station, Platform 1",-33.93148115,151.1250494,Sydney Trains Network,2
Train,"Bardwell Park Station, Platform 2",-33.93154303,151.1250849,Sydney Trains Network,2
Train,"Bargo Station, Platform 1",-34.29106754,150.5800624,Intercity Trains Network,2
Train,"Bargo Station, Platform 2",-34.29102,150.5801473,Intercity Trains Network,2
Train,"Bathurst Station, Platform 1",-33.42563233,149.5832461,Intercity Trains Network,2
Train,"Beecroft Station, Platform 1",-33.749381,151.0665902,Sydney Trains Network,2
Train,"Beecroft Station, Platform 2",-33.7493565,151.0665136,Sydney Trains Network,2
Train,"Bell Station, Platform 1",-33.50584284,150.2790418,Intercity Trains Network,2
Train,"Bell Station, Platform 2",-33.50586256,150.278978,Intercity Trains Network,2
Train,"Bellambi Station, Platform 1",-34.3627498,150.9100331,Intercity Trains Network,2
Train,"Bellambi Station, Platform 2",-34.36276537,150.9101099,Intercity Trains Network,2
Train,"Berala Station, Platform 1",-33.87182445,151.0323756,Sydney Trains Network,2
Train,"Berala Station, Platform 2",-33.87189465,151.0324329,Sydney Trains Network,2
Train,"Beresfield Station, Platform 1",-32.79918423,151.658225,Intercity Trains Network,2
Train,"Beresfield Station, Platform 2",-32.79922297,151.6581524,Intercity Trains Network,2
Train,"Berowra Station, Platform 1",-33.62357589,151.1531899,Intercity Trains Network,2
Train,"Berowra Station, Platform 2",-33.62352373,151.1531335,Sydney Trains Network,2
Train,"Berowra Station, Platform 3",-33.62346257,151.1530767,Intercity Trains Network,2
Train,"Berry Station, Platform 1",-34.78031413,150.6967255,Intercity Trains Network,2
