lga,council_name,lga_neighbor
ALBURY CITY,ALBURY CITY COUNCIL,"ALBURY CITY, GREATER HUME SHIRE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, KEMPSEY, NAMBUCCA VALLEY, URALLA, WALCHA"
BALLINA,BALLINA SHIRE COUNCIL,"BALLINA, BYRON, LISMORE, RICHMOND VALLEY"
BALRANALD,BALRANALD SHIRE COUNCIL,"BALRANALD, CARRATHOOL, CENTRAL DARLING, HAY, MURRAY RIVER, WENTWORTH"
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, LITHGOW CITY, MID-WESTERN REGIONAL, OBERON, UPPER LACHLAN SHIRE"
BAYSIDE,BAYSIDE COUNCIL,"BAYSIDE (NSW), CANTERBURY-BANKSTOWN, GEORGES RIVER, INNER WEST, RANDWICK, SYDNEY"
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,"BEGA VALLEY, EUROBODALLA, SNOWY MONARO REGIONAL"
BELLINGEN,BELLINGEN SHIRE COUNCIL,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR, NAMBUCCA VALLEY"
BERRIGAN,BERRIGAN SHIRE COUNCIL,"BERRIGAN, EDWARD RIVER, FEDERATION, MURRAY RIVER, MURRUMBIDGEE"
BLACKTOWN,BLACKTOWN CITY COUNCIL,"BLACKTOWN, CUMBERLAND, FAIRFIELD, HAWKESBURY, CITY OF PARRAMATTA, PENRITH, THE HILLS SHIRE"
BLAND,BLAND SHIRE COUNCIL,"BLAND, CARRATHOOL, COOLAMON, FORBES, HILLTOPS, LACHLAN, NARRANDERA, TEMORA, WEDDIN"
BLAYNEY,BLAYNEY SHIRE COUNCIL,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, ORANGE"
BLUE MOUNTAINS,BLUE MOUNTAINS CITY COUNCIL,"BLUE MOUNTAINS, HAWKESBURY, LITHGOW CITY, OBERON, PENRITH, WOLLONDILLY"
BOGAN,BOGAN SHIRE COUNCIL,"BOGAN, BOURKE, BREWARRINA, COBAR, LACHLAN, WARREN"
BOURKE,BOURKE SHIRE COUNCIL,"BOGAN, BOURKE, BREWARRINA, CENTRAL DARLING, COBAR, UNINCORPORATED NSW"
BREWARRINA,BREWARRINA SHIRE COUNCIL,"BOGAN, BOURKE, BREWARRINA, WALGETT, WARREN"
BROKEN HILL,BROKEN HILL CITY COUNCIL,"BROKEN HILL, UNINCORPORATED NSW"
BURWOOD,BURWOOD COUNCIL,"BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, INNER WEST, STRATHFIELD"
BYRON,BYRON SHIRE COUNCIL,"BALLINA, BYRON, LISMORE, TWEED"
CABONNE,CABONNE SHIRE COUNCIL,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, DUBBO REGIONAL, FORBES, MID-WESTERN REGIONAL, NARROMINE, ORANGE, PARKES"
CAMDEN,CAMDEN COUNCIL,"CAMDEN, CAMPBELLTOWN, LIVERPOOL, WOLLONDILLY"
CAMPBELLTOWN,CAMPBELLTOWN CITY COUNCIL,"CAMDEN, CAMPBELLTOWN, LIVERPOOL, SUTHERLAND SHIRE, WOLLONDILLY, WOLLONGONG"
CANADA BAY,CITY OF CANADA BAY COUNCIL,"BURWOOD, CANADA BAY, INNER WEST, CITY OF PARRAMATTA, STRATHFIELD"
CANTERBURY-BANKSTOWN,CANTERBURY-BANKSTOWN COUNCIL,"BAYSIDE (NSW), BURWOOD, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, GEORGES RIVER, INNER WEST, LIVERPOOL, STRATHFIELD, SUTHERLAND SHIRE"
CARRATHOOL,CARRATHOOL SHIRE COUNCIL,"BALRANALD, BLAND, CARRATHOOL, CENTRAL DARLING, COBAR, GRIFFITH, HAY, LACHLAN, MURRUMBIDGEE, NARRANDERA"
CENTRAL COAST,CENTRAL COAST COUNCIL,"CENTRAL COAST, CESSNOCK, HAWKESBURY, HORNSBY, LAKE MACQUARIE, THE HILLS SHIRE"
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,"BALRANALD, BOURKE, CARRATHOOL, CENTRAL DARLING, COBAR, WENTWORTH, UNINCORPORATED NSW"
CESSNOCK,CESSNOCK CITY COUNCIL,"CENTRAL COAST, CESSNOCK, HAWKESBURY, LAKE MACQUARIE, MAITLAND, NEWCASTLE, SINGLETON"
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,"ARMIDALE REGIONAL, BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR, GLEN INNES SEVERN, KYOGLE, RICHMOND VALLEY, TENTERFIELD"
COBAR,COBAR SHIRE COUNCIL,"BOGAN, BOURKE, CARRATHOOL, CENTRAL DARLING, COBAR, LACHLAN"
COFFS HARBOUR,COFFS HARBOUR CITY COUNCIL,"BELLINGEN, CLARENCE VALLEY, COFFS HARBOUR"
COOLAMON,COOLAMON SHIRE COUNCIL,"BLAND, COOLAMON, JUNEE, NARRANDERA, TEMORA, WAGGA WAGGA"
COONAMBLE,COONAMBLE SHIRE COUNCIL,"COONAMBLE, GILGANDRA, NARRABRI, WALGETT, WARREN, WARRUMBUNGLE"
COOTAMUNDRA-GUNDAGAI REGIONAL REGIONAL,COOTAMUNDRA-GUNDAGAI REGIONAL REGIONAL COUNCIL,"COOTAMUNDRA-GUNDAGAI REGIONAL, HILLTOPS, JUNEE, SNOWY VALLEYS, TEMORA, WAGGA WAGGA, YASS VALLEY"
COWRA,COWRA SHIRE COUNCIL,"BATHURST REGIONAL, BLAYNEY, CABONNE, COWRA, FORBES, HILLTOPS, UPPER LACHLAN SHIRE, WEDDIN"
CUMBERLAND,CUMBERLAND COUNCIL,"BLACKTOWN, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, CITY OF PARRAMATTA, STRATHFIELD"
DUBBO REGIONAL REGIONAL,DUBBO REGIONAL REGIONAL COUNCIL,"CABONNE, DUBBO REGIONAL, GILGANDRA, MID-WESTERN REGIONAL, NARROMINE, WARRUMBUNGLE"
DUNGOG,DUNGOG SHIRE COUNCIL,"DUNGOG, MAITLAND, MID-COAST, PORT STEPHENS, SINGLETON, UPPER HUNTER"
EDWARD RIVER,EDWARD RIVER COUNCIL,"BERRIGAN, EDWARD RIVER, HAY, MURRAY RIVER, MURRUMBIDGEE"
EUROBODALLA,EUROBODALLA SHIRE COUNCIL,"BEGA VALLEY, EUROBODALLA, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, SNOWY MONARO REGIONAL"
FAIRFIELD,FAIRFIELD CITY COUNCIL,"BLACKTOWN, CANTERBURY-BANKSTOWN, CUMBERLAND, FAIRFIELD, LIVERPOOL, PENRITH"
FEDERATION,FEDERATION COUNCIL,"BERRIGAN, FEDERATION, GREATER HUME SHIRE, LOCKHART, MURRUMBIDGEE, NARRANDERA"
FORBES,FORBES SHIRE COUNCIL,"BLAND, CABONNE, COWRA, FORBES, LACHLAN, PARKES, WEDDIN"
GEORGES RIVER,GEORGES RIVER COUNCIL,"BAYSIDE (NSW), CANTERBURY-BANKSTOWN, GEORGES RIVER"
GILGANDRA,GILGANDRA SHIRE COUNCIL,"COONAMBLE, DUBBO REGIONAL, GILGANDRA, NARROMINE, WARREN, WARRUMBUNGLE"
GLEN INNES SEVERN,GLEN INNES SEVERN SHIRE COUNCIL,"ARMIDALE REGIONAL, CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, TENTERFIELD"
GOULBURN MULWAREE,GOULBURN MULWAREE COUNCIL,"GOULBURN MULWAREE, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, UPPER LACHLAN SHIRE, WINGECARRIBEE"
GREATER HUME SHIRE,GREATER HUME SHIRE COUNCIL,"ALBURY CITY, FEDERATION, GREATER HUME SHIRE, LOCKHART, SNOWY VALLEYS, WAGGA WAGGA"
GRIFFITH,GRIFFITH CITY COUNCIL,"CARRATHOOL, GRIFFITH, LEETON, MURRUMBIDGEE, NARRANDERA"
GUNNEDAH,GUNNEDAH SHIRE COUNCIL,"GUNNEDAH, LIVERPOOL PLAINS, NARRABRI, TAMWORTH REGIONAL, WARRUMBUNGLE"
GWYDIR,GWYDIR SHIRE COUNCIL,"GWYDIR, INVERELL, MOREE PLAINS, NARRABRI, TAMWORTH REGIONAL, URALLA"
HAWKESBURY,HAWKESBURY CITY COUNCIL,"BLACKTOWN, BLUE MOUNTAINS, CENTRAL COAST, CESSNOCK, HAWKESBURY, LITHGOW CITY, PENRITH, SINGLETON, THE HILLS SHIRE"
HAY,HAY SHIRE COUNCIL,"BALRANALD, CARRATHOOL, EDWARD RIVER, HAY, MURRAY RIVER, MURRUMBIDGEE"
HILLTOPS,HILLTOPS COUNCIL,"BLAND, COOTAMUNDRA-GUNDAGAI REGIONAL, COWRA, HILLTOPS, TEMORA, UPPER LACHLAN SHIRE, WEDDIN, YASS VALLEY"
HORNSBY,THE COUNCIL OF THE SHIRE OF HORNSBY,"CENTRAL COAST, HORNSBY, KU-RING-GAI, CITY OF PARRAMATTA, RYDE, THE HILLS SHIRE"
HUNTERS HILL,THE COUNCIL OF THE MUNICIPALITY OF HUNTERS HILL,"HUNTERS HILL, RYDE"
INNER WEST,INNER WEST COUNCIL,"BAYSIDE (NSW), BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, INNER WEST, SYDNEY"
INVERELL,INVERELL SHIRE COUNCIL,"ARMIDALE REGIONAL, GLEN INNES SEVERN, GWYDIR, INVERELL, MOREE PLAINS, TENTERFIELD, URALLA"
JUNEE,JUNEE SHIRE COUNCIL,"COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, JUNEE, TEMORA, WAGGA WAGGA"
KEMPSEY,KEMPSEY SHIRE COUNCIL,"ARMIDALE REGIONAL, KEMPSEY, NAMBUCCA VALLEY, PORT MACQUARIE-HASTINGS, WALCHA"
KIAMA,THE COUNCIL OF THE MUNICIPALITY OF KIAMA,"KIAMA, SHELLHARBOUR, SHOALHAVEN, WINGECARRIBEE"
KU-RING-GAI,KU-RING-GAI COUNCIL,"HORNSBY, KU-RING-GAI, NORTHERN BEACHES, RYDE, WILLOUGHBY"
KYOGLE,KYOGLE COUNCIL,"CLARENCE VALLEY, KYOGLE, LISMORE, RICHMOND VALLEY, TENTERFIELD, TWEED"
LACHLAN,LACHLAN SHIRE COUNCIL,"BLAND, BOGAN, CARRATHOOL, COBAR, FORBES, LACHLAN, NARROMINE, PARKES, WARREN"
LAKE MACQUARIE,LAKE MACQUARIE CITY COUNCIL,"CENTRAL COAST, CESSNOCK, LAKE MACQUARIE, NEWCASTLE"
LANE COVE,LANE COVE MUNICIPAL COUNCIL,"LANE COVE, NORTH SYDNEY, WILLOUGHBY"
LEETON,LEETON SHIRE COUNCIL,"GRIFFITH, LEETON, MURRUMBIDGEE, NARRANDERA"
LISMORE,LISMORE CITY COUNCIL,"BALLINA, BYRON, KYOGLE, LISMORE, RICHMOND VALLEY, TWEED"
LITHGOW CITY,LITHGOW CITY COUNCIL,"BATHURST REGIONAL, BLUE MOUNTAINS, HAWKESBURY, LITHGOW CITY, MID-WESTERN REGIONAL, OBERON, SINGLETON"
LIVERPOOL,LIVERPOOL CITY COUNCIL,"CAMDEN, CAMPBELLTOWN, CANTERBURY-BANKSTOWN, FAIRFIELD, LIVERPOOL, PENRITH, SUTHERLAND SHIRE, WOLLONDILLY"
LIVERPOOL PLAINS,LIVERPOOL PLAINS SHIRE COUNCIL,"GUNNEDAH, LIVERPOOL PLAINS, TAMWORTH REGIONAL, UPPER HUNTER, WARRUMBUNGLE"
LOCKHART,LOCKHART SHIRE COUNCIL,"FEDERATION, GREATER HUME SHIRE, LOCKHART, NARRANDERA, WAGGA WAGGA"
