Term,Land Use,Definition
Aboriginal Object,No,"Means any deposit, object or other material evidence (not being a handicraft made for sale) relating to the Aboriginal habitation of an area of New South Wales, being habitation before or concurrent with (or both) the occupation of that area by persons of non-Aboriginal extraction, and includes Aboriginal remains.Aboriginal place of heritage significance means an area of land, the general location of which is identified in an Aboriginal heritage study adopted by the Council after public exhibition and that may be shown on the Heritage Map, that is— (a) the site of one or more Aboriginal objects or a place that has the physical remains of pre-European occupation by, or is of contemporary significance to, the Aboriginal people.It may (but need not) include items and remnants of the occupation of the land by Aboriginal people, such as burial places, engraving sites, rock art, midden deposits, scarred and sacred trees and sharpening grooves, or (b) a natural Aboriginal sacred site or other sacred feature.It includes natural features such as creeks or mountains of long-standing cultural significance, as well as initiation, ceremonial or story places or areas of more contemporary cultural significance.Note— The term may include (but is not limited to) places that are declared under section 84 of the National Parks and Wildlife Act 1974 to be Aboriginal places for the purposes of that Act.Acid sulfate soils means naturally occurring sediments and soils containing iron sulfides (principally pyrite) or their precursors or oxidation products, whose exposure to oxygen leads to the generation of sulfuric acid (for example, by drainage or excavation).Acid Sulfate Soils Manual means the manual by that name published by the Acid Sulfate Soils Management Advisory Committee and made publicly available.Advertisement has the same meaning as in the Act.Note— The term is defined as a sign, notice, device or representation in the nature of an advertisement visible from any public place or public reserve or from any navigable water.Advertising structure has the same meaning as in the Act.Note— The term is defined as a structure used or to be used principally for the display of an advertisement.Advertising structures are a type of signage—see the definition of that term in this Dictionary.Affordable housing has the same meaning as in the Act.Note— The term is defined as housing for very low income households, low income households or moderate income households, being such households as are prescribed by the regulations or as are provided for in an environmental planning instrument.Agricultural produce industry means a building or place used for the handling, treating, processing or packing, for commercial purposes, of produce from agriculture (including dairy products, seeds, fruit, vegetables or other plant material), and includes wineries, flour mills, cotton seed oil plants, cotton gins, feed mills, cheese and butter factories, and juicing or canning plants, but does not include a livestock processing industry.Note— Agricultural produce industries are a type of rural industry—see the definition of that term in this Dictionary.Agriculture means any of the following— (aaa) agritourism, (a) aquaculture, (b) extensive agriculture, (c) intensive livestock agriculture, (d) intensive plant agriculture.Note— Part 6 of the Plantations and Reafforestation Act 1999 provides that exempt farm forestry within the meaning of that Act is not subject to the Environmental Planning and Assessment Act 1979.Agritourism means the following— (a) farm gate premises, (b) farm experience premises.Note— Agritourism is a type of agriculture—see the definition of that term in this Dictionary.Air transport facility means an airport or a heliport that is not part of an airport, and includes associated communication and air traffic control facilities or structures.Airport means a place that is used for the landing, taking off, parking, maintenance or repair of aeroplanes, and includes associated buildings, installations, facilities and movement areas and any heliport that is part of the airport.Note— Airports are a type of air transport facility—see the definition of that term in this Dictionary.Airstrip means a single runway for the landing, taking off or parking of aeroplanes for private aviation only, but does not include an airport, heliport or helipad.Amusement centre means a building or place (not being part of a pub or registered club) used principally for playing— (a) billiards, pool or other like games, or (b) electronic or mechanical amusement devices, such as pinball machines, computer or video games and the like.Animal boarding or training establishment means a building or place used for the breeding, boarding, training, keeping or caring of animals for commercial purposes (other than for the agistment of horses), and includes any associated riding school or ancillary veterinary hospital.Aquaculture has the same meaning as in the Fisheries Management Act 1994.It includes oyster aquaculture, pond-based aquaculture and tank-based aquaculture.Note— Aquaculture is a type of agriculture—see the definition of that term in this Dictionary.Archaeological site means a place that contains one or more relics.Artisan food and drink industry means a building or place the principal purpose of which is the making or manufacture of boutique, artisan or craft food or drink products only.It must also include at least one of the following— (a) a retail area for the sale of the products, (b) the preparation and serving, on a retail basis, of food and drink to people for consumption on the premises, whether or not liquor, take away meals and drinks or entertainment are also provided, (c) facilities for holding tastings, tours or workshops.Note— See clause 5.4 for controls in certain zones relating to the retail floor area of an artisan food and drink industry.Artisan food and drink industries are a type of light industry—see the definition of that term in this Dictionary.Attached dwelling means a building containing 3 or more dwellings, where— (a) each dwelling is attached to another dwelling by a common wall, and (b) each of the dwellings is on its own lot of land, and (c) none of the dwellings is located above any part of another dwelling.Note— Attached dwellings are a type of residential accommodation—see the definition of that term in this Dictionary.Attic means any habitable space, but not a separate dwelling, contained wholly within a roof above the ceiling line of the storey immediately below, except for minor elements such as dormer windows and the like.Backpackers’ accommodation means a building or place that— (a) provides temporary or short-term accommodation on a commercial basis, and (b) has shared facilities, such as a communal bathroom, kitchen or laundry, and (c) provides accommodation on a bed or dormitory-style basis (rather than by room).Note— Backpackers’ accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary.Basement means the space of a building where the floor level of that space is predominantly below ground level (existing) and where the floor level of the storey immediately above is less than 1 metre above ground level (existing).Bed and breakfast accommodation means an existing dwelling in which temporary or short-term accommodation is provided on a commercial basis by the permanent residents of the dwelling and where— (a) meals are provided for guests only, and (b) cooking facilities for the preparation of meals are not provided within guests’ rooms, and (c) dormitory-style accommodation is not provided.Note— See clause 5.4 for controls relating to the number of bedrooms for bed and breakfast accommodation.Bed and breakfast accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary.Bee keeping means a building or place used for the keeping and breeding of bees for commercial purposes.Note— Bee keeping is a type of extensive agriculture—see the definition of that term in this Dictionary.Biodiversity or biological diversity means the variety of living animal and plant life from all sources, and includes diversity within and between species and diversity of ecosystems.Biosolids treatment facility means a building or place used as a facility for the treatment of biosolids from a sewage treatment plant or from a water recycling facility.Note— Biosolids treatment facilities are a type of sewerage system—see the definition of that term in this Dictionary.Boarding house means a building or place— (a) that provides residents with a principal place of residence for at least 3 months, and (b) that contains shared facilities, such as a communal living room, bathroom, kitchen or laundry, and (c) that contains rooms, some or all of which may have private kitchen and bathroom facilities, and (d) used to provide affordable housing, and (e) if not carried out by or on behalf of the Land and Housing Corporation—managed by a registered community housing provider, but does not include backpackers’ accommodation, co-living housing, a group home, hotel or motel accommodation, seniors housing or a serviced apartment.Boat building and repair facility means any facility (including a building or other structure) used primarily for the construction, maintenance or repair of boats, whether or not including the storage, sale or hire of boats, but does not include a marina or boat shed.Boat launching ramp means a structure designed primarily for the launching of trailer borne recreational vessels, and includes associated car parking facilities.Boat shed means a building or other structure used for the storage and routine maintenance of a boat or boats and that is associated with a private dwelling or non-profit organisation, and includes any skid used in connection with the building or other structure.Brothel has the same meaning as in the Act.Note— This definition is relevant to the definitions of home occupation (sex services) and sex services premises in this Dictionary.Building has the same meaning as in the Act.Note— The term is defined to include part of a building and any structure or part of a structure, but not including a manufactured home, a moveable dwelling or associated structure (or part of a manufactured home, moveable dwelling or associated structure).Building height (or height of building) means— (a) in relation to the height of a building in metres—the vertical distance from ground level (existing) to the highest point of the building, or (b) in relation to the RL of a building—the vertical distance from the Australian Height Datum to the highest point of the building, including plant and lift overruns, but excluding communication devices, antennae, satellite dishes, masts, flagpoles, chimneys, flues and the like.Building identification sign means a sign that identifies or names a building and that may include the name of a building, the street name and number of a building, and a logo or other symbol but does not include general advertising of products, goods or services.Note— Building identification signs are a type of signage—see the definition of that term in this Dictionary.Building line or setback means the horizontal distance between the property boundary or other stated boundary (measured at 90 degrees from the boundary) and— (a) a building wall, or (b) the outside face of any balcony, deck or the like, or (c) the supporting posts of a carport or verandah roof, whichever distance is the shortest.Bush fire hazard reduction work has the same meaning as in the Rural Fires Act 1997.Note— The term is defined as follows— bush fire hazard reduction work means— (a) the establishment or maintenance of fire breaks on land, and (b) the controlled application of appropriate fire regimes or other means for the reduction or modification of available fuels within a predetermined area to mitigate against the spread of a bush fire, but does not include construction of a track, trail or road.Bush fire prone land has the same meaning as in the Act.Note— The term is defined, in relation to an area, as land recorded for the time being as bush fire prone land on a map for the area certified as referred to in section 10.3(2) of the Act.Bush fire risk management plan means a plan prepared under Division 4 of Part 3 of the Rural Fires Act 1997 for the purpose referred to in section 54 of that Act.Business identification sign means a sign— (a) that indicates— (i) the name of the person or business, and (ii) the nature of the business carried on by the person at the premises or place at which the sign is displayed, and (b) that may include the address of the premises or place and a logo or other symbol that identifies the business, but that does not contain any advertising relating to a person who does not carry on business at the premises or place.Note— Business identification signs are a type of signage—see the definition of that term in this Dictionary.Business premises means a building or place at or on which— (a) an occupation, profession or trade (other than an industry) is carried on for the provision of services directly to members of the public on a regular basis, or (b) a service is provided directly to members of the public on a regular basis, and includes funeral homes, goods repair and reuse premises and, without limitation, premises such as banks, post offices, hairdressers, dry cleaners, travel agencies, betting agencies and the like, but does not include an entertainment facility, home business, home occupation, home occupation (sex services), medical centre, restricted premises, sex services premises or veterinary hospital.Note— Business premises are a type of commercial premises—see the definition of that term in this Dictionary.Camping ground means an area of land, with access to communal amenities, used for the short term placement of campervans, tents, annexes or other similar portable and lightweight temporary shelters for accommodation and includes a primitive camping ground but does not include— (a) a caravan park, or (b) farm stay accommodation.Canal estate development—see clause 2.9.Car park means a building or place primarily used for the purpose of parking motor vehicles, including any manoeuvring space and access thereto, whether operated for gain or not.Caravan park means an area of land, with access to communal amenities, used for the installation or placement of caravans, or caravans and other moveable dwellings, but does not include farm stay accommodation.Catchment action plan has the same meaning as in the Catchment Management Authorities Act 2003.Note— The term is defined as a catchment action plan of an authority that has been approved by the Minister under Part 4 of the Catchment Management Authorities Act 2003.Cellar door premises means a building or place that is used to sell wine by retail and that is situated on land on which there is a commercial vineyard, and where most of the wine offered for sale is produced in a winery situated on that land or is produced predominantly from grapes grown in the surrounding area.Note— Cellar door premises are a type of farm gate premises—see the definition of that term in this Dictionary.Cemetery means a building or place used primarily for the interment of deceased persons or pets or their ashes, whether or not it contains an associated building for conducting memorial services.Centre-based child care facility means— (a) a building or place used for the education and care of children that provides any one or more of the following— (i) long day care, (ii) occasional child care, (iii) out-of-school-hours care (including vacation care), (iv) preschool care, or (b) an approved family day care venue (within the meaning of the Children (Education and Care Services) National Law (NSW)), Note— An approved family day care venue is a place, other than a residence, where an approved family day care service (within the meaning of the Children (Education and Care Services) National Law (NSW)) is provided.But does not include— (c) a building or place used for home-based child care or school-based child care, or (d) an office of a family day care service (within the meanings of the Children (Education and Care Services) National Law (NSW)), or (e) a babysitting, playgroup or child-minding service that is organised informally by the parents of the children concerned, or (f) a child-minding service that is provided in connection with a recreational or commercial facility (such as a gymnasium) to care for children while the children’s parents are using the facility, or (g) a service that is concerned primarily with providing lessons or coaching in, or providing for participation in, a cultural, recreational, religious or sporting activity, or providing private tutoring, or (h) a child-minding service that is provided by or in a health services facility, but only if the service is established, registered or licensed as part of the institution operating in the facility.Note— Centre-based child care facilities are a type of early education and care facility—see the definition of that term in this Dictionary.Charter and tourism boating facility means any facility (including a building or other structure) used for charter boating or tourism boating purposes, being a facility that is used only by the operators of the facility and that has a direct structural connection between the foreshore and the waterway, but does not include a marina.Classified road has the same meaning as in the Roads Act 1993.Note— The term is defined as follows— classified road means any of the following— (a) a main road, (b) a highway, (c) a freeway, (d) a controlled access road, (e) a secondary road, (f) a tourist road, (g) a tollway, (h) a transitway, (i) a State work.(See Roads Act 1993 for meanings of these terms.) clearing native vegetation has the same meaning as in Part 5A of the Local Land Services Act 2013.Clearing vegetation has the same meaning as in State Environmental Planning Policy (Biodiversity and Conservation) 2021, Chapter 2.Coastal hazard has the same meaning as in the Coastal Management Act 2016.Coastal lake means a body of water identified in State Environmental Planning Policy (Resilience and Hazards) 2021, Schedule 1.Coastal protection works has the same meaning as in the Coastal Management Act 2016.Coastal waters of the State—see section 58 of the Interpretation Act 1987.Coastal zone has the same meaning as in the Coastal Management Act 2016.Co-living housing means a building or place that— (a) has at least 6 private rooms, some or all of which may have private kitchen and bathroom facilities, and (b) provides occupants with a principal place of residence for at least 3 months, and (c) has shared facilities, such as a communal living room, bathroom, kitchen or laundry, maintained by a managing agent, who provides management services 24 hours a day, but does not include backpackers’ accommodation, a boarding house, a group home, hotel or motel accommodation, seniors housing or a serviced apartment.Note— Co-living housing is a type of residential accommodation—see the definition of that term in this Dictionary.Commercial farm means a farm on which agriculture is undertaken that is— (a) on land categorised as farmland under the Local Government Act 1993, section 515, or (b) a primary production business within the meaning of the Income Tax Assessment Act 1997 of the Commonwealth, or part of a primary production business, including a business that— (i) was a primary production business, and (ii) has temporarily ceased to be a primary production business because of a natural disaster, including a drought, flood or bush fire.Commercial premises means any of the following— (a) business premises, (b) office premises, (c) retail premises.Community facility means a building or place— (a) owned or controlled by a public authority or non-profit community organisation, and (b) used for the physical, social, cultural or intellectual development or welfare of the community, but does not include an educational establishment, hospital, retail premises, place of public worship or residential accommodation.Community land has the same meaning as in the Local Government Act 1993.Correctional centre means— (a) any premises declared to be a correctional centre by a proclamation in force under section 225 of the Crimes (Administration of Sentences) Act 1999, including any juvenile correctional centre or periodic detention centre, and (b) any premises declared to be a detention centre by an order in force under section 5(1) of the Children (Detention Centres) Act 1987, but does not include any police station or court cell complex in which a person is held in custody in accordance with any Act.Council means the [name of the Council for the relevant local government area].Creative industry means a building or place the principal purpose of which is to produce or demonstrate arts, crafts, design or other creative products, and includes artists’ studios, recording studios, and set design and production facilities.Note— Creative industries are a type of light industry—see the definition of that term in this Dictionary.Crematorium means a building or place in which deceased persons or pets are cremated or processed by alkaline hydrolysis, whether or not the building or place contains an associated building for conducting memorial services.Curtilage, in relation to a heritage item or conservation area, means the area of land (including land covered by water) surrounding a heritage item, a heritage conservation area, or building, work or place within a heritage conservation area, that contributes to its heritage significance.Dairy (pasture-based) means a dairy that is conducted on a commercial basis where the only restriction facilities present are milking sheds and holding yards and where cattle generally feed by grazing on living grasses and other plants on the land and are constrained for no more than 10 hours in any 24 hour period (excluding during any period of drought or similar emergency relief).Note— Dairies (pasture-based) are a type of extensive agriculture—see the definition of that term in this Dictionary.Dairy (restricted) means a dairy that is conducted on a commercial basis where restriction facilities (in addition to milking sheds and holding yards) are present and where cattle have access to grazing for less than 10 hours in any 24 hour period (excluding during any period of drought or similar emergency relief).It may comprise the whole or part of a restriction facility.Note— Dairies (restricted) are a type of intensive livestock agriculture—see the definition of that term in this Dictionary.Data centre means a building or place the principal purpose of which is to collect, distribute, process or store electronic data using information technology.Note— Data centres are a type of high technology industry—see the definition of that term in this Dictionary.Demolish, in relation to a heritage item or an Aboriginal object, or a building, work, relic or tree within a heritage conservation area, means wholly or partly destroy, dismantle or deface the heritage item, Aboriginal object or building, work, relic or tree.Depot means a building or place used for the storage (but not sale or hire) of plant, machinery or other goods (that support the operations of an existing undertaking) when not required for use, but does not include a farm building.Drainage means any activity that intentionally alters the hydrological regime of any locality by facilitating the removal of surface or ground water.It may include the construction, deepening, extending, opening, installation or laying of any canal, drain or pipe, either on the land or in such a manner as to encourage drainage of adjoining land.Dual occupancy means a dual occupancy (attached) or a dual occupancy (detached).Note— Dual occupancies are a type of residential accommodation—see the definition of that term in this Dictionary.Dual occupancy (attached) means 2 dwellings on one lot of land that are attached to each other, but does not include a secondary dwelling.Note— Dual occupancies (attached) are a type of dual occupancy—see the definition of that term in this Dictionary.Dual occupancy (detached) means 2 detached dwellings on one lot of land, but does not include a secondary dwelling.Note— Dual occupancies (detached) are a type of dual occupancy—see the definition of that term in this Dictionary.Dwelling means a room or suite of rooms occupied or used or so constructed or adapted as to be capable of being occupied or used as a separate domicile.Dwelling house means a building containing only one dwelling.Note— Dwelling houses are a type of residential accommodation—see the definition of that term in this Dictionary.Early education and care facility means a building or place used for the education and care of children, and includes any of the following— (a) a centre-based child care facility, (b) home-based child care, (c) school-based child care.Earthworks means excavation or filling.Ecologically sustainable development has the same meaning as in the Act.Eco-tourist facility means a building or place that— (a) provides temporary or short-term accommodation to visitors on a commercial basis, and (b) is located in or adjacent to an area with special ecological or cultural features, and (c) is sensitively designed and located so as to minimise bulk, scale and overall physical footprint and any ecological or visual impact.It may include facilities that are used to provide information or education to visitors and to exhibit or display items.Note— See clause 5.13 for requirements in relation to the granting of development consent for eco-tourist facilities.Eco-tourist facilities are not a type of tourist and visitor accommodation—see the definition of that term in this Dictionary.Educational establishment means a building or place used for education (including teaching), being— (a) a school, or (b) a tertiary institution, including a university or a TAFE establishment, that provides formal education and is constituted by or under an Act.Electricity generating works means a building or place used for the purpose of— (a) making or generating electricity, or (b) electricity storage.Emergency services facility means a building or place (including a helipad) used in connection with the provision of emergency services by an emergency services organisation.Emergency services organisation means any of the following— (a) Ambulance Service of New South Wales, (b) Fire and Rescue NSW, (c) NSW Rural Fire Service, (d) NSW Police Force, (e) State Emergency Service, (f) New South Wales Volunteer Rescue Association Incorporated, (g) New South Wales Mines Rescue Brigade established under the Coal Industry Act 2001, (h) an accredited rescue unit within the meaning of the State Emergency and Rescue Management Act 1989.Entertainment facility means a theatre, cinema, music hall, concert hall, dance hall and the like, but does not include a pub or registered club.Environmental facility means a building or place that provides for the recreational use or scientific study of natural systems, and includes walking tracks, seating, shelters, board walks, observation decks, bird hides or the like, and associated display structures.Environmental protection works means works associated with the rehabilitation of land towards its natural state or any work to protect land from environmental degradation, and includes bush regeneration works, wetland protection works, erosion protection works, dune restoration works and the like, but does not include coastal protection works.Estuary has the same meaning as in the Water Management Act 2000.Note— The term is defined as follows— estuary means— (a) any part of a river whose level is periodically or intermittently affected by coastal tides, or (b) any lake or other partially enclosed body of water that is periodically or intermittently open to the sea, or (c) anything declared by the regulations (under the Water Management Act 2000) to be an estuary, but does not include anything declared by the regulations (under the Water Management Act 2000) not to be an estuary.Excavation means the removal of soil or rock, whether moved to another part of the same site or to another site, but does not include garden landscaping that does not significantly alter the shape, natural form or drainage of the land.Exhibition home means a dwelling built for the purposes of the public exhibition and marketing of new dwellings, whether or not it is intended to be sold as a private dwelling after its use for those purposes is completed, and includes any associated sales or home finance office or place used for displays.Exhibition village means 2 or more exhibition homes and associated buildings and places used for house and land sales, site offices, advisory services, car parking, food and drink sales and other associated purposes.Extensive agriculture means any of the following— (a) the production of crops or fodder (including irrigated pasture and fodder crops) for commercial purposes, (b) the grazing of livestock (other than pigs and poultry) for commercial purposes on living grasses and other plants on the land as their primary source of dietary requirements, and any supplementary or emergency feeding, or temporary agistment or housing for weaning, dipping, tagging or similar husbandry purposes, of the livestock, (c) bee keeping, (d) a dairy (pasture-based) where the animals generally feed by grazing on living grasses and other plants on the land as their primary source of dietary requirements, and any supplementary or emergency feeding, or temporary agistment or housing for weaning, dipping, tagging or similar husbandry purposes, of the animals.Note— Extensive agriculture is a type of agriculture—see the definition of that term in this Dictionary.Extractive industry means the winning or removal of extractive materials (otherwise than from a mine) by methods such as excavating, dredging, tunnelling or quarrying, including the storing, stockpiling or processing of extractive materials by methods such as recycling, washing, crushing, sawing or separating, but does not include turf farming.Note— Extractive industries are not a type of industry—see the definition of that term in this Dictionary.Extractive material means sand, soil, gravel, rock or similar substances that are not minerals within the meaning of the Mining Act 1992.Farm building means a structure the use of which is ancillary to an agricultural use of the landholding on which it is situated and includes a hay shed, stock holding yard, machinery shed, shearing shed, silo, storage tank, outbuilding or the like, but does not include a dwelling.Farm experience premises means a building or place— (a) on a commercial farm, and (b) ancillary to the farm, and (c) used to provide visitors to the farm, on a commercial basis, with small-scale and low-impact tourist or recreational activities, including the following, but not including motor sports— (i) horse riding, (ii) farm tours, (iii) functions or conferences, (iv) farm field days.Note— Farm experience premises are a type of agritourism—see the definition of that term in this Dictionary.Farm gate premises— (a) means a building or place— (i) on a commercial farm, and (ii) ancillary to the farm, and (iii) used to provide visitors to the farm, on a commercial basis, with agricultural products predominantly from the farm, supplemented by products from other farms in the region, or with services or activities related to the products, including the following— (A) processing, packaging and sale of the products, but not the processing of animals, (B) the preparation and serving, on a retail basis, of food and drink to people for consumption on the premises, whether or not liquor, take away meals and drinks or entertainment are also provided, (C) tastings or workshops, (D) the provision of information or education related to the products, and (b) includes cellar door premises.Note— Farm gate premises are a type of agritourism—see the definition of that term in this Dictionary.Farm stay accommodation means a building or place— (a) on a commercial farm, and (b) ancillary to the farm, and (c) used to provide temporary accommodation to paying guests of the farm, including in buildings or moveable dwellings.Note— Farm stay accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary.Feedlot means a confined or restricted area that is operated on a commercial basis to rear and fat"
Aboriginal Place Of Heritage Significance,No,"Means an area of land, the general location of which is identified in an Aboriginal heritage study adopted by the Council after public exhibition and that may be shown on the Heritage Map, that is— (a) the site of one or more Aboriginal objects or a place that has the physical remains of pre-European occupation by, or is of contemporary significance to, the Aboriginal people.It may (but need not) include items and remnants of the occupation of the land by Aboriginal people, such as burial places, engraving sites, rock art, midden deposits, scarred and sacred trees and sharpening grooves, or (b) a natural Aboriginal sacred site or other sacred feature.It includes natural features such as creeks or mountains of long-standing cultural significance, as well as initiation, ceremonial or story places or areas of more contemporary cultural significance.Note— The term may include (but is not limited to) places that are declared under section 84 of the National Parks and Wildlife Act 1974 to be Aboriginal places for the purposes of that Act."
Acid Sulfate Soils,No,"Means naturally occurring sediments and soils containing iron sulfides (principally pyrite) or their precursors or oxidation products, whose exposure to oxygen leads to the generation of sulfuric acid (for example, by drainage or excavation)."
Acid Sulfate Soils Manual,No,Means the manual by that name published by the Acid Sulfate Soils Management Advisory Committee and made publicly available.
Advertisement,No,"Has the same meaning as in the Act.Note— The term is defined as a sign, notice, device or representation in the nature of an advertisement visible from any public place or public reserve or from any navigable water."
Advertising Structure,,Has the same meaning as in the Act.Note— The term is defined as a structure used or to be used principally for the display of an advertisement.Advertising structures are a type of signage—see the definition of that term in this Dictionary.
Affected Land,No,"), and (b) proposed development relates to the affected land and other land that together comprise the site of the proposed development, the maximum amount of floor area allowed on the other land by the floor space ratio fixed for the site by this Plan is reduced by the quantity of floor space area the covenant prevents being created on the affected land."
Affordable Housing,,"Has the same meaning as in the Act.Note— The term is defined as housing for very low income households, low income households or moderate income households, being such households as are prescribed by the regulations or as are provided for in an environmental planning instrument."
Agricultural Produce Industry,,"Means a building or place used for the handling, treating, processing or packing, for commercial purposes, of produce from agriculture (including dairy products, seeds, fruit, vegetables or other plant material), and includes wineries, flour mills, cotton seed oil plants, cotton gins, feed mills, cheese and butter factories, and juicing or canning plants, but does not include a livestock processing industry.Note— Agricultural produce industries are a type of rural industry—see the definition of that term in this Dictionary."
Agriculture,,"Means any of the following— (aaa) agritourism, (a) aquaculture, (b) extensive agriculture, (c) intensive livestock agriculture, (d) intensive plant agriculture.Note— Part 6 of the Plantations and Reafforestation Act 1999 provides that exempt farm forestry within the meaning of that Act is not subject to the Environmental Planning and Assessment Act 1979."
