address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"91/459-463 Church Street, Parramatta NSW 2150",405000,7/12/2024,apartment,1,1,1,
"38/459-463 Church Street, Parramatta NSW 2150",575000,7/12/2024,apartment,2,2,1,
"5 Gould Place, Parramatta NSW 2150",2002000,7/12/2024,house,3,1,2,
"61/22-32 GREAT WESTERN HIGH WAY, Parramatta NSW 2150",264000,6/12/2024,studio,,1,1,
"34/3 Sorrell Street, Parramatta NSW 2150",855000,30/11/2024,apartment,3,2,1,
"13/11-15 Dixon Street, Parramatta NSW 2150",560000,29/11/2024,apartment,2,2,1,102 m2
"27/1 Good Street, Parramatta NSW 2150",525000,28/11/2024,apartment,2,1,1,
"26/17-19 Hassall Street, Parramatta NSW 2150",600000,28/11/2024,apartment,2,2,1,
"13 Gore Street, Parramatta NSW 2150",1560000,23/11/2024,house,3,2,2,
"6234/180 George Street, Parramatta NSW 2150",1520000,22/11/2024,apartment,3,2,2,
"615/178 George Street, Parramatta NSW 2150",775000,22/11/2024,apartment,2,2,1,
"21 Marion Street, Parramatta NSW 2150",770000,22/11/2024,duplex-semi-detached,2,1,1,
"G632/1 Broughton Street, Parramatta NSW 2150",516000,22/11/2024,apartment,1,1,1,
"701/33-35 Cowper Street, Parramatta NSW 2150",575000,22/11/2024,apartment,2,2,1,
"6/22-24 Thomas Street, Parramatta NSW 2150",630000,20/11/2024,apartment,2,1,2,
"4903/330 Church Street, Parramatta NSW 2150",1090000,19/11/2024,apartment,3,2,2,148 m2
"199/109 George Street, Parramatta NSW 2150",673000,18/11/2024,apartment,2,2,1,
"1005/118 Church Street, Parramatta NSW 2150",545000,18/11/2024,apartment,1,1,1,
"5/8 Harold Street, Parramatta NSW 2150",585000,18/11/2024,apartment,2,1,1,
"9/11A Betts Street, Parramatta NSW 2150",580000,16/11/2024,apartment,2,1,1,
"84/13 Hassall Street, Parramatta NSW 2150",590000,15/11/2024,apartment,2,2,1,
"312/36-46 Cowper Street, Parramatta NSW 2150",560000,15/11/2024,apartment,2,2,1,
"532K/2 Morton Street, Parramatta NSW 2150",650000,15/11/2024,apartment,2,2,1,
"2133/180 George Street, Parramatta NSW 2150",630000,15/11/2024,apartment,2,1,,
"113/36-46 Cowper Street, Parramatta NSW 2150",574000,14/11/2024,apartment,2,2,1,
"236/109-113 George Street, Parramatta NSW 2150",625000,13/11/2024,apartment,2,2,1,
"1G/15 Campbell Street, Parramatta NSW 2150",360000,11/11/2024,apartment,1,1,1,
"38/13-15 Hassall Street, Parramatta NSW 2150",600000,11/11/2024,apartment,2,2,1,115 m2
"E516/1 BROUGHTON STREET, Parramatta NSW 2150",630000,11/11/2024,apartment,2,2,1,
"65/22-32 Great Western Highway, Parramatta NSW 2150",260000,8/11/2024,studio,1,1,1,
"3/22 Grandview Street, Parramatta NSW 2150",1268000,8/11/2024,townhouse,3,2,2,
"19/21-23 Grose Street, Parramatta NSW 2150",665000,7/11/2024,apartment,2,2,1,
"45/128 Macquarie Street, Parramatta NSW 2150",630000,7/11/2024,apartment,2,1,1,
"4503/12 Phillip Street, Parramatta NSW 2150",1050000,7/11/2024,apartment,2,2,1,
"C26/88 - 98 Marsden Street, Parramatta NSW 2150",535000,6/11/2024,apartment,2,2,1,
"21/16 Bobart Street, Parramatta NSW 2150",551000,6/11/2024,apartment,2,1,1,
"523/1F Broughton Street, Parramatta NSW 2150",503000,5/11/2024,apartment,1,1,1,
"18/3 Good Street, Parramatta NSW 2150",615000,4/11/2024,unit,2,2,1,147 m2
"610C/3 Broughton Street, Parramatta NSW 2150",625000,4/11/2024,apartment,2,2,1,
"3307/88 Church Street, Parramatta NSW 2150",840000,4/11/2024,apartment,2,2,1,
"44/26-30 Hassall Street, Parramatta NSW 2150",600000,2/11/2024,apartment,2,2,1,
"133 Victoria road, Parramatta NSW 2150",1500000,2/11/2024,house,4,2,2,697 m2
"3002/88 Church Street, Parramatta NSW 2150",855000,,apartment,2,2,1,
"3807/12 Phillip Street, Parramatta NSW 2150",840000,,apartment,2,2,1,
"14/16-20 Queens Avenue, Parramatta NSW 2150",600000,31/10/2024,unit,2,1,1,
"1607/1A Morton Street, Parramatta NSW 2150",620000,31/10/2024,apartment,2,2,1,
"L538/2 Morton Street, Parramatta NSW 2150",635000,31/10/2024,apartment,2,2,1,
"116/20 Victoria Road, Parramatta NSW 2150",810000,31/10/2024,unit,3,2,1,
"10/26 Tennyson Street, Parramatta NSW 2150",665000,29/10/2024,unit,2,1,1,165 m2
