suburb,address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size,collected_at
AARONS PASS,"267 Putta Bucca Road, Bombira NSW 2850",1750000,2025-03-07,house,4.0,3.0,,5356.0,2025-03-18T03:30:03.277358
AARONS PASS,"10 Harvey Street, Bombira NSW 2850",400000,2025-03-06,residential land,,,,2031.0,2025-03-18T03:30:03.277358
ABBOTSBURY,"2 Martens Place, Abbotsbury NSW 2176",1460000,2025-03-13,house,4.0,2.0,2.0,711.0,2025-03-18T03:30:03.280433
ABBOTSBURY,"74 Bancroft Road, Abbotsbury NSW 2176",1725000,2025-03-08,house,3.0,2.0,4.0,693.0,2025-03-18T03:30:03.280433
ABBOTSBURY,"5 Stockdale Crescent, Abbotsbury NSW 2176",1653500,2025-03-08,house,4.0,2.0,2.0,802.0,2025-03-18T03:30:03.280433
ABBOTSBURY,"36 Dalbertis Street, Abbotsbury NSW 2176",1470000,2025-02-24,house,4.0,2.0,2.0,600.0,2025-03-18T03:30:03.280433
ABBOTSBURY,"31 Driscoll Street, Abbotsbury NSW 2176",1700000,2025-01-29,house,4.0,2.0,2.0,684.0,2025-03-18T03:30:03.280433
ABBOTSBURY,"15 Unsworth Street, Abbotsbury NSW 2176",1730000,2025-01-21,house,4.0,2.0,2.0,700.0,2025-03-18T03:30:03.280433
ABBOTSFORD,"9/9-15 Rokeby Rd, Abbotsford NSW 2046",1110000,2025-03-15,apartment,2.0,1.0,2.0,,2025-03-18T03:30:03.283591
ABBOTSFORD,"4 Marmion Road, Abbotsford NSW 2046",3605000,2025-03-14,house,4.0,2.0,2.0,500.0,2025-03-18T03:30:03.283591
ABBOTSFORD,"4/57 Walton Crescent, Abbotsford NSW 2046",2000000,2025-03-13,apartment,3.0,2.0,2.0,,2025-03-18T03:30:03.283591
ABBOTSFORD,"6 Poolman Street, Abbotsford NSW 2046",5400000,2025-03-08,house,3.0,1.0,3.0,689.0,2025-03-18T03:30:03.283591
ABBOTSFORD,"17/1-5 Gow Street, Abbotsford NSW 2046",1390000,2025-03-08,townhouse,2.0,1.0,2.0,,2025-03-18T03:30:03.283591
ABBOTSFORD,"7 The Terrace, Abbotsford NSW 2046",4850000,2025-02-25,house,4.0,3.0,2.0,324.0,2025-03-18T03:30:03.283591
ABBOTSFORD,"37/1 Harbourview Crescent, Abbotsford NSW 2046",2400000,2025-01-31,apartment,3.0,3.0,2.0,246.0,2025-03-18T03:30:03.283591
ABERDARE,"1/114 Congewai Street, Aberdare NSW 2325",480000,2025-02-14,house,2.0,1.0,1.0,,2025-03-18T03:30:13.716646
ABERDARE,"Unit 4/49 Rawson St, Aberdare NSW 2325",422500,2025-02-07,unit,2.0,1.0,1.0,,2025-03-18T03:30:13.716646
ABERDEEN,"35/17 Hall Street, Aberdeen NSW 2336",170000,2025-03-12,house,2.0,1.0,1.0,,2025-03-18T03:30:13.718813
ABERDEEN,"7 Alexander Close, Aberdeen NSW 2336",800000,2025-03-04,house,4.0,2.0,5.0,1961.0,2025-03-18T03:30:13.718813
ABERDEEN,"164 Macqueen Street, Aberdeen NSW 2336",395000,2025-02-28,house,3.0,1.0,1.0,697.0,2025-03-18T03:30:13.718813
ABERDEEN,"28 Gordon Street, Aberdeen NSW 2336",950000,2025-02-21,house,4.0,2.0,,3829.0,2025-03-18T03:30:13.718813
ABERDEEN,"20 Shannon Close, Aberdeen NSW 2336",520000,2025-02-18,house,3.0,2.0,2.0,854.0,2025-03-18T03:30:13.718813
ABERDEEN,"47 Graeme Street, Aberdeen NSW 2336",480000,2025-02-05,house,4.0,2.0,1.0,1016.0,2025-03-18T03:30:13.718813
ABERDEEN,"48 Blairmore Lane, Aberdeen NSW 2336",865000,2025-01-15,lifestyle,3.0,2.0,7.0,2580.0,2025-03-18T03:30:13.718813
