suburb,postcode
ADAMSTOWN,2289
ALBION PARK RAIL,2527
ALEXANDRIA,2015
ALLAMBIE HEIGHTS,2100
AWABA,2283
BAR POINT,2083
BELIMBLA PARK,2570
BELLAMBI,2518
BELLEVUE HILL,2023
BENNETTS GREEN,2290
BERKELEY VALE,2261
BERKSHIRE PARK,2765
BEROWRA HEIGHTS,2082
BILGOLA PLATEAU,2107
BIRMINGHAM GARDENS,2287
BLACK HILL,2322
BLACKTOWN,2148
BLAXLAND,2774
BOLTON POINT,2283
BONDI,2026
BONDI JUNCTION,2022
BONNET BAY,2226
BONNIE VALE,2232
BOSSLEY PARK,2176
BOUDDI,2251
BOX HILL,2765
BRADFIELD,2556
BREAKFAST POINT,2137
BRIGHTWATERS,2264
BRINGELLY,2556
BROWNSVILLE,2530
BUDGEWOI PENINSULA,2262
CABARITA,2137
CALDERWOOD,2527
CAMBRIDGE GARDENS,2747
CAMPVALE,2318
CARDIFF,2285
CARDIFF SOUTH,2285
CAREY BAY,2283
CARLTON,2218
CASTLE HILL,2154
CASTLECRAG,2068
CENTENNIAL PARK,2021
CHARLESTOWN,2290
CHARMHAVEN,2263
CLEVELAND,2530
CLIFTON,2515
CLONTARF,2093
CLYDE,2142
COASTERS RETREAT,2108
COLONGRA,2262
CONCORD WEST,2138
CONNELLS POINT,2221
CORDEAUX HEIGHTS,2526
CRANGAN BAY,2259
CREMORNE,2090
CROYDON PARK,2133
DALEYS POINT,2257
DHARRUK,2770
DOLLS POINT,2219
DOONSIDE,2767
DOORALONG,2259
DORA CREEK,2264
DOUBLE BAY,2028
DRUMMOYNE,2047
DUDLEY,2290
DUNDAS VALLEY,2117
EAGLE VALE,2558
EARLWOOD,2206
EAST KILLARA,2071
EAST KURRAJONG,2758
EDENSOR PARK,2176
ELIZABETH HILLS,2171
EMERTON,2770
ENGLORIE PARK,2560
ERARING,2264
ERSKINEVILLE,2043
ESCHOL PARK,2558
ETTALONG BEACH,2257
EVELEIGH,2015
FAIRFIELD WEST,2165
FAULCONBRIDGE,2776
FENNELL BAY,2283
FIVE DOCK,2046
FOREST LODGE,2037
FREEMANS WATERHOLE,2323
GALSTON,2159
GARDEN SUBURB,2289
GEORGETOWN,2298
GIRRAWEEN,2145
GLENFIELD,2167
GLENHAVEN,2156
GLENMORE,2570
GLENORIE,2157
GLENWOOD,2768
GOSFORD,2250
GREEN POINT,2251
GREENHILLS BEACH,2230
GREYSTANES,2145
GYMEA BAY,2227
HABERFIELD,2045
HAMMONDVILLE,2170
HASSALL GROVE,2761
HEXHAM,2322
HILLSDALE,2036
HOLMESVILLE,2286
HOLSWORTHY,2173
HORNSBY HEIGHTS,2077
HORSLEY PARK,2175
HURSTVILLE,2220
ILLAWONG,2234
KAHIBAH,2290
KANWAL,2259
KELLYVILLE RIDGE,2155
KEMBLA HEIGHTS,2526
KENSINGTON,2033
KENTHURST,2156
KILLARNEY VALE,2261
KILLINGWORTH,2278
KINGS PARK,2148
KINGSDALE,2580
KIRKHAM,2570
KIRRIBILLI,2061
KOTARA,2289
KURNELL,2231
KURRABA POINT,2089
KURRAJONG HEIGHTS,2758
LAKE ILLAWARRA,2528
LAPSTONE,2773
LEMON TREE PASSAGE,2319
LEURA,2780
LISAROW,2250
LOWER MANGROVE,2250
MACQUARIE PARK,2113
MACQUARIE PASS,2577
MANGERTON,2500
MANGROVE CREEK,2250
MATRAVILLE,2036
MAYFIELD,2304
MEADOWBANK,2114
MEDOWIE,2318
MELROSE PARK,2114
MENANGLE PARK,2563
MERRYLANDS WEST,2160
MICALO ISLAND,2464
MILLER,2168
MINCHINBURY,2770
MINDARIBBA,2320
MIRRABOOKA,2264
MOONEE,2259
MOONEY MOONEY,2083
MOOREBANK,2170
MOSMAN,2088
MOUNT OUSLEY,2519
MULGRAVE,2756
NARARA,2250
NARELLAN,2567
NARRAWEENA,2099
NARWEE,2209
NEW LAMBTON HEIGHTS,2305
NEWCASTLE,2300
NORTH WOLLONGONG,2500
NORTHMEAD,2152
NORTHWOOD,2066
OAK FLATS,2529
OAKDALE,2570
ORCHARD HILLS,2748
OURIMBAH,2258
PADDINGTON,2021
PANANIA,2213
PARKLEA,2768
PARRAMATTA,2150
PENDLE HILL,2145
PITT TOWN BOTTOMS,2756
PRESTONS,2170
QUEENS PARK,2022
REGENTS PARK,2143
RHODES,2138
RODD POINT,2046
ROOTY HILL,2766
ROSEBERY,2018
ROSELANDS,2196
ROSEVILLE CHASE,2069
ROZELLE,2039
RYDE,2112
SAN REMO,2262
SANDRINGHAM,2219
SHELLHARBOUR,2529
SILVERWATER,2128
SMITHFIELD,2164
SOUTH GRANVILLE,2142
SOUTH PENRITH,2750
SPEERS POINT,2284
SPENCER,2775
SPRINGFIELD,2250
SPRINGWOOD,2777
ST ANDREWS,2566
ST LEONARDS,2065
ST MARYS,2760
STANHOPE GARDENS,2768
SYDENHAM,2044
SYDNEY OLYMPIC PARK,2127
TERREY HILLS,2084
THORNTON,2322
TINGIRA HEIGHTS,2290
TORONTO,2283
TUGGERAH,2259
WAKELEY,2176
WARWICK FARM,2170
WEBBERS CREEK,2421
WERRINGTON,2747
WERRINGTON DOWNS,2747
WEST PYMBLE,2073
WESTMEAD,2145
WHITEBRIDGE,2290
WICKHAM,2293
WILEY PARK,2195
WILBERFORCE,2756
WOODBINE,2560
WOOLLAHRA,2025
WOOLLOOMOOLOO,2011
WOOLOOWARE,2230
WYONG,2259
