Zone,RGB Fill Colour,RGB Outline Colour,HEX Fill Colour,HEX Outline Colour
2(a),255:166:163,0:00:00,FFA6A3,000000
A,252:119:110,0:00:00,FC776E,000000
AGB,250:232:197,0:00:00,FAE8C5,000000
B,99:240:245,0:00:00,63F0F5,000000
B1,201:255:249,0:00:00,C9FFF9,000000
B2,98:240:245,0:00:00,62F0F5,000000
B3,0:194:237,0:00:00,00C2ED,000000
B4,149:157:194,0:00:00,959DC2,000000
B5,125:160:171,0:00:00,7DA0AB,000000
B6,149:191:204,0:00:00,95BFCC,000000
B7,186:214:222,0:00:00,BAD6DE,000000
C,186:214:222,0:00:00,BAD6DE,000000
C1,230:153:0,0:00:00,E69900,000000
C2,240:174:60,0:00:00,F0AE3C,000000
C3,247:197:104,0:00:00,F7C568,000000
C4,255:218:150,0:00:00,FFDA96,000000
CA,No Fill,0:92:230,No Fill,005CE6
D,149:157:194,0:00:00,959DC2,000000
DM,255:255:255,255:00:00,FFFFFF,FF0000
DR,255:255:112,0:00:00,FFFF70,000000
E,0:194:237,0:00:00,00C2ED,000000
E1,153:204:255,0:00:00,99CCFF,000000
E2,180:198:231,0:00:00,B4C6E7,000000
E3,142:169:219,0:00:00,8EA9DB,000000
E4,153:153:255,0:00:00,9999FF,000000
E5,153:102:255,0:00:00,9966FF,000000
EM,149:191:204,0:00:00,95BFCC,000000
ENP,255:214:64,0:00:00,FFD640,000000
ENT,118:192:214,0:00:00,76C0D6,000000
ENZ,115:178:115,0:00:00,73B273,000000
EP,252:249:182,0:00:00,FCF9B6,000000
F,255:255:161,0:00:00,FFFFA1,000000
G,255:255:112,0:00:00,FFFF70,000000
H,85:255:0,0:00:00,55FF00,000000
I,211:255:191,0:00:00,D3FFBF,000000
IN1,221:184:245,0:00:00,DDB8F5,000000
IN2,243:219:255,0:00:00,F3DBFF,000000
IN3,197:149:232,0:00:00,C595E8,000000
MAP,230:255:255,0:00:00,E6FFFF,000000
MU,149:157:194,0:00:00,959DC2,000000
MU1,149:157:194,0:00:00,959DC2,000000
P,179:204:252,0:00:00,B3CCFC,000000
PAE,244:236:73,0:00:00,F4EC49,000000
PEP,116:179:116,0:00:00,74B374,000000
PRC,84:153:128,0:00:00,549980,000000
R,179:252:179,0:00:00,B3FCB3,000000
R1,255:207:255,0:00:00,FFCFFF,000000
R2,255:166:163,0:00:00,FFA6A3,000000
R3,255:119:110,0:00:00,FF776E,000000
R4,255:72:59,0:00:00,FF483B,000000
R5,255:217:217,0:00:00,FFD9D9,000000
RAC,230:203:151,0:00:00,E6CB97,000000
RAZ,230:203:151,0:00:00,E6CB97,000000
RE1,85:255:0,0:00:00,55FF00,000000
RE2,211:255:190,0:00:00,D3FFBE,000000
REC,174:242:179,0:00:00,AEF2B3,000000
REZ,222:184:245,0:00:00,DEB8F5,000000
RO,85:255:0,0:00:00,55FF00,000000
RP,211:255:190,0:00:00,D3FFBE,000000
RU1,237:216:173,0:00:00,EDD8AD,000000
RU2,230:202:151,0:00:00,E6CA97,000000
RU3,222:192:131,0:00:00,DEC083,000000
RU4,214:188:111,0:00:00,D6BC6F,000000
RU5,214:161:156,0:00:00,D6A19C,000000
RU6,199:158:76,0:00:00,C79E4C,000000
RUR,239:228:190,0:00:00,EFE4BE,000000
RW,211:184:245,0:00:00,D3B8F5,000000
SET,255:210:220,0:00:00,FFD2DC,000000
SP1,255:255:161,0:00:00,FFFFA1,000000
SP2,255:255:112,0:00:00,FFFF70,000000
SP3,255:255:0,0:00:00,FFFF00,000000
SP4,255:255:0,0:00:00,FFFF00,000000
SP5,230:230:0,0:00:00,E6E600,000000
SPU,255:255:0,0:00:00,FFFF00,000000
T,252:210:239,0:00:00,FCD2EF,000000
U,202:252:237,0:00:00,CAFCED,000000
UD,255:127:99,0:00:00,FF7F63,000000
UL,255:255:255,0:00:00,FFFFFF,000000
UR,255:119:110,0:00:00,FF776E,000000
W,252:196:184,0:00:00,FCC4B8,000000
W1,217:255:242,0:00:00,D9FFF2,000000
W2,153:255:221,0:00:00,99FFDD,000000
W3,51:255:187,0:00:00,33FFBB,000000
W4,0:230:169,0:00:00,00E6A9,000000
WFU,17:130:194,0:00:00,1182C2,000000
