SA2,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
Acacia Gardens,1952,2347,2530,2768,3040,3284,3518,3668,3787,3824,3801,3854,3870,3901,3943,3962,3964,3961,3941,3937,3937,3937,3937,3962,3964,3965,3967,3969,3971,3973,3975,3977,3979,3982,3984,3986,3989,3992,3995,3998,4002
Adamstown - Kotara,14374,14413,14422,14468,14578,14594,14860,15119,15336,15571,15794,15892,15953,15987,16039,16023,16029,16009,16067,16123,16015,15914,15837,15780,15742,15705,15668,15629,15591,15555,15522,15490,15460,15432,15407,15382,15360,15339,15319,15301,15284
Albion Park - Macquarie Pass,11670,12178,12500,12683,12837,13067,13344,13569,13766,13946,14059,14181,14314,14424,14559,14706,14914,15230,15676,16850,17291,17748,18240,18758,19299,19852,20416,20990,21576,22165,22757,23352,23951,24554,25161,25773,26390,27010,27635,28264,28896
Albion Park Rail,7587,7449,7353,7311,7242,7158,7137,7173,7228,7265,7236,7219,7203,7166,7112,7045,6957,6922,6923,6877,6886,6896,6913,6934,6957,6979,6998,7014,7029,7042,7054,7065,7075,7084,7092,7099,7105,7111,7116,7120,7123
Albury - East,9898,10189,10550,10758,11201,11543,12026,12365,12678,13007,13239,13562,13978,14503,14842,15321,15738,16286,16795,17311,17640,18013,18431,18883,19369,19866,20375,20894,21426,21959,22492,23025,23559,24093,24627,25161,25695,26230,26765,27300,27834
Albury - North,9198,9343,9392,9433,9512,9548,9597,9610,9599,9606,9621,9644,9717,9796,9900,10004,10145,10250,10346,10379,10480,10611,10766,10938,11127,11320,11518,11721,11929,12140,12354,12569,12788,13008,13230,13454,13680,13907,14136,14366,14597
Albury - South,10893,10925,10909,10927,10930,10964,10962,10977,10984,10968,10933,10896,10894,10824,10727,10686,10647,10579,10521,10515,10543,10603,10690,10797,10924,11052,11182,11313,11445,11577,11708,11837,11965,12091,12214,12336,12455,12572,12686,12798,12908
Albury Surrounds,11096,11034,10957,10957,10905,10932,10965,10990,11031,11110,11167,11280,11382,11515,11669,11784,11904,12003,12102,12233,12316,12417,12536,12666,12805,12948,13093,13241,13393,13545,13697,13850,14004,14157,14312,14467,14622,14777,14933,15089,15246
Anna Bay,4975,5064,5155,5227,5297,5332,5464,5522,5534,5597,5674,5674,5710,5779,5812,5838,5875,5901,5935,5973,5986,6006,6035,6071,6114,6157,6201,6244,6286,6329,6373,6418,6462,6508,6554,6601,6648,6696,6744,6793,6843
Annandale (NSW),8519,8499,8586,8601,8644,8713,8922,9041,9162,9173,9221,9361,9501,9587,9734,9842,10022,10109,10310,10358,10302,10295,10089,10079,10136,10091,10075,10069,10065,10066,10072,10080,10089,10101,10114,10129,10147,10166,10186,10206,10229
Armidale,22969,22869,22634,22467,22374,22380,22499,22904,23166,23349,23471,23631,23756,23856,23979,24114,24369,24482,24579,24460,24256,24072,23979,23973,24068,24169,24275,24386,24502,24625,24754,24885,25018,25154,25292,25432,25573,25716,25859,26003,26148
Armidale Surrounds - North,4282,4279,4267,4257,4265,4278,4295,4323,4366,4397,4421,4464,4503,4531,4543,4558,4579,4551,4572,4572,4565,4559,4559,4562,4569,4574,4578,4581,4581,4582,4582,4581,4580,4579,4577,4575,4573,4569,4566,4562,4558
Armidale Surrounds - South,6038,6006,5960,5931,5932,5951,5957,6008,6129,6189,6211,6199,6185,6179,6153,6120,6116,6081,6076,6044,5997,5951,5906,5861,5815,5766,5713,5657,5597,5535,5471,5405,5337,5267,5195,5122,5048,4972,4895,4817,4738
Arncliffe - Bardwell Valley,11586,11544,11753,11826,11888,11915,11916,12055,12239,12405,12634,13219,13805,14412,15099,15947,17424,18299,19433,19688,19261,18670,18157,18009,18570,18867,19318,19534,20056,20390,20900,21011,21107,21143,21182,21227,21281,21338,21394,21453,21514
Artarmon,8584,8699,8614,8610,8692,8735,8863,8882,8910,8998,9088,9197,9291,9367,9634,9961,10432,10549,10639,10599,10605,10610,10503,10458,10454,10422,10368,10313,10289,10268,10274,10282,10291,10301,10306,10320,10332,10350,10366,10387,10403
Ashcroft - Busby - Miller,16934,16746,16577,16500,16360,16243,16264,16354,16632,16920,17167,17299,17452,17622,17769,17919,18117,18266,18399,18325,18354,18359,18462,18578,18792,19072,19362,19653,19960,20282,20608,20935,21283,21613,21957,22313,22662,23030,23394,23764,24139
Ashfield - North,11719,11697,11744,11782,11882,12012,12342,12414,12461,12528,12696,12848,13055,13219,13474,13665,13938,13993,14162,14142,13889,13850,13710,13570,13570,13456,13319,13311,13306,13311,13327,13349,13373,13402,13435,13486,13532,13579,13626,13674,13725
Ashfield - South,9779,10046,10193,10250,10364,10572,10672,10719,11032,11166,11383,11496,11669,11730,11730,11931,12219,12370,12539,12719,12637,12534,12545,12668,12778,13356,13839,13968,14099,14241,14394,14552,14713,14878,15048,15238,15272,15308,15344,15381,15421
Asquith - Mount Colah,18145,17995,17901,17869,17792,17786,17794,18012,18247,18420,18471,18502,18525,18633,18741,18867,19097,19641,20044,20554,20531,20537,20610,20788,20900,20995,21111,21225,21343,21476,21616,21762,21911,22070,22218,22399,22576,22709,22814,22934,23043
Auburn - Central,12623,12848,13602,14182,14572,14994,15297,15914,16330,16490,16526,16790,17131,17458,17782,18124,18676,19023,19559,19487,19554,19708,19738,19837,20193,20230,20844,21461,21970,22455,22946,23438,23961,24457,24975,25511,26037,26591,27138,27701,28282
Auburn - North,8421,8679,8847,9001,9274,9539,9787,10124,10349,10497,10517,10807,11109,11405,11685,11981,12447,12769,13084,12947,12999,13071,13251,14257,14407,14520,14700,14881,15072,15272,15475,15678,15894,16098,16312,16533,16750,16979,17205,17437,17677
Auburn - South,6605,6622,6558,6600,6664,6749,6942,7166,7509,7801,7991,8157,8332,8493,8653,8827,9068,9225,9340,9293,9311,9315,9318,9376,9395,9402,9409,9417,9425,9433,9442,9450,9460,9468,9477,9487,9496,9505,9515,9525,9535
Austral - Greendale,8956,9137,9088,8919,8929,8982,8845,8890,8961,9095,9299,9297,9301,9299,9258,9210,9170,9113,9129,9950,9996,10342,10634,11303,12353,13470,14942,16589,18275,20233,22646,25205,27436,29551,31979,34266,36224,37878,39329,40820,42335
Avalon - Palm Beach,13047,13088,12998,12821,12746,12767,12699,12724,12776,12873,13002,12995,13004,13010,12990,12978,13009,13033,13059,13064,13064,13064,13066,13071,13079,13087,13095,13104,13112,13121,13131,13142,13152,13164,13174,13187,13200,13214,13228,13244,13258
Avoca Beach - Copacabana,7099,7118,7084,7028,6986,6949,6996,7136,7237,7270,7289,7362,7428,7502,7562,7626,7682,7728,7760,7778,7748,7720,7707,7706,7719,7732,7744,7757,7769,7782,7796,7811,7826,7842,7859,7877,7895,7914,7934,7954,7975
Badgerys Creek,255,269,268,257,260,261,265,273,281,289,298,254,208,163,113,62,62,62,62,62,61,54,52,51,50,49,49,48,48,47,47,47,48,48,48,48,48,48,49,49,49
Balgowlah - Clontarf - Seaforth,18445,18434,18394,18403,18396,18637,19037,19091,19557,19958,20309,20514,20674,20821,20966,21140,21337,21504,21588,21614,21611,21612,21632,21666,21724,21779,21840,21900,21941,21953,21966,21979,21993,22007,22021,22037,22053,22071,22089,22110,22128
Balgownie - Fairy Meadow,19963,20295,20282,20236,20194,20056,20224,20491,20660,20892,21041,21148,21378,21513,21754,21858,22176,22262,22480,22733,22709,22705,22786,22952,23214,23483,23756,24033,24314,24602,24896,25192,25491,25793,26097,26404,26713,27024,27337,27652,27969
Ballina,16711,16713,16717,16727,16626,16594,16614,16633,16693,16766,16830,16914,17062,17184,17342,17555,17752,18026,18177,18437,18617,18803,19016,19248,19499,19747,19991,20232,20469,20700,20926,21144,21354,21557,21751,21936,22112,22279,22437,22587,22728
Ballina Surrounds,14963,15239,15451,15541,15646,15787,15864,15956,16070,16142,16205,16400,16556,16711,16906,17247,17486,17699,17893,18030,18097,18174,18270,18376,18493,18603,18707,18804,18896,18987,19078,19167,19254,19341,19427,19511,19594,19676,19756,19836,19914
Balmain,14708,14688,14766,14800,14794,14888,15060,15252,15446,15604,15743,15886,16073,16257,16408,16629,16882,17182,17324,17394,17396,17414,17417,17418,17411,17404,17398,17392,17385,17378,17369,17360,17405,17453,17504,17563,17638,17711,17784,17860,17939
Bangalow,5132,5219,5284,5322,5320,5345,5386,5479,5543,5583,5589,5661,5739,5821,5914,6006,6121,6234,6317,6456,6516,6581,6660,6750,6853,6953,7051,7146,7239,7332,7424,7515,7606,7696,7785,7874,7962,8049,8137,8224,8310
Banksmeadow,14,14,14,14,14,14,14,14,14,14,14,15,17,18,20,21,21,21,21,226,196,189,177,171,170,170,169,168,168,169,170,170,171,172,172,173,174,176,177,178,179
Bankstown - North,12417,13030,13423,13605,13803,14131,14733,15328,15790,16031,16249,16380,16567,16712,16859,17068,17365,17550,17669,17736,17751,17758,18308,18437,18576,18681,18875,19071,19276,19492,19711,19930,20163,20384,20614,20853,21087,21334,21577,21828,22087
Bankstown - South,12608,12608,12819,13139,13393,13721,14483,15088,15496,15815,16279,16314,16412,16503,16594,16658,16883,16911,16862,17107,17303,17559,17668,17905,18480,18896,19280,19666,20072,20499,20931,21364,21825,22261,22717,23189,23652,24139,24621,25116,25627
Banora Point,13634,14130,14664,14942,15087,15143,15386,15553,15597,15656,15644,15703,15796,15865,15914,15986,16045,16058,16111,16209,16240,16277,16327,16381,16438,16487,16527,16557,16578,16594,16606,16611,16611,16605,16594,16577,16554,16526,16492,16453,16409
Bargo,4975,5076,5159,5217,5244,5271,5303,5357,5445,5517,5564,5573,5639,5690,5776,5834,5884,5959,6021,6036,6041,6070,6102,6159,6232,6298,6378,6456,6538,6623,6682,6684,6685,6687,6688,6689,6691,6693,6694,6696,6697
Bass Hill - Georges Hall,19863,19745,19646,19510,19551,19784,20032,20283,20548,20822,21047,21341,21750,22151,22477,22758,23172,23534,23778,23814,23836,23897,23983,24119,24262,24392,24564,24737,24919,25110,25304,25498,25704,25900,26104,26315,26522,26741,26956,27178,27407
Bateau Bay - Killarney Vale,21439,21461,21431,21473,21488,21468,21423,21717,21897,22050,22025,22099,22175,22270,22365,22478,22554,22595,22612,22656,22778,22900,23041,23193,23354,23508,23656,23797,23932,24064,24192,24316,24438,24556,24673,24786,24897,25004,25109,25211,25310
Batemans Bay,6537,6724,6993,7162,7293,7382,7501,7597,7644,7669,7772,7771,7776,7800,7829,7871,7914,7964,8025,8173,8212,8264,8322,8382,8445,8503,8558,8610,8657,8704,8749,8793,8836,8877,8917,8955,8993,9028,9063,9096,9129
Batemans Bay - South,7290,7412,7606,7746,7845,7892,8068,8200,8295,8460,8580,8559,8546,8532,8519,8510,8524,8505,8527,8581,8636,8706,8785,8867,8954,9036,9114,9188,9258,9326,9392,9456,9518,9578,9636,9693,9748,9800,9852,9902,9950
Bathurst - East,7368,7646,7911,8067,8263,8449,8725,8986,9225,9598,9820,10060,10340,10647,11048,11424,11774,12042,12333,12592,12891,13201,13533,13880,14239,14592,14947,15303,15660,16019,16379,16740,17102,17466,17832,18199,18568,18938,19309,19681,20054
Bathurst - South,11181,11069,10930,10818,10740,10701,10482,10550,10810,10866,10966,10979,11037,10988,10947,11001,11050,11136,11241,11161,11215,11275,11359,11464,11590,11718,11849,11983,12120,12258,12398,12539,12681,12824,12967,13112,13257,13403,13549,13695,13842
Bathurst - West,11499,11633,11739,11805,11916,12007,12240,12478,12796,12864,12968,13026,13118,13246,13379,13453,13535,13584,13612,13792,13859,13932,14036,14166,14322,14480,14642,14808,14977,15147,15321,15495,15670,15846,16024,16203,16382,16562,16743,16923,17105
Bathurst Surrounds,6058,6141,6188,6205,6293,6403,6448,6542,6692,6784,6811,6840,6883,6923,6963,7006,7025,7043,7073,7102,7091,7088,7089,7089,7086,7079,7068,7052,7031,7009,6985,6960,6934,6906,6878,6849,6819,6788,6757,6725,6693
Baulkham Hills - East,19901,19947,20178,20508,20620,20659,20666,20972,21506,21965,22188,22370,22628,22941,23270,23711,24454,24615,24850,25077,25055,25059,25148,25277,25658,25902,26259,26614,26925,27191,27472,27764,28061,28381,28675,28989,29297,29640,29978,30365,30716
